problem_id,title,tags,is_solvable,accepted_user_count,level,average_tries
1000,A+B,"implementation,arithmetic,math",TRUE,199179,1,2
1001,A-B,"implementation,arithmetic,math",TRUE,168110,1,1
1002,터렛,"geometry,math",TRUE,28569,8,4
1003,피보나치 함수,dp,TRUE,37972,8,3
1004,어린 왕자,geometry,TRUE,10649,8,2
1005,ACM Craft,"dp,graphs,topological_sorting",TRUE,9218,13,3
1006,습격자 초라기,dp,TRUE,1403,18,5
1007,벡터 매칭,"bruteforcing,math",TRUE,2262,14,2
1008,A/B,"implementation,arithmetic,math",TRUE,131520,1,2
1009,분산처리,"implementation,math",TRUE,14018,4,4
1010,다리 놓기,"combinatorics,dp,math",TRUE,22783,6,2
1011,Fly me to the Alpha Centauri,math,TRUE,20086,11,3
1012,유기농 배추,"graphs,graph_traversal,bfs,dfs",TRUE,31857,9,2
1013,Contact,"regex,string",TRUE,3004,11,2
1014,컨닝,"bitmask,dp,flow,dp_bitfield",TRUE,1496,17,2
1015,수열 정렬,sorting,TRUE,4151,7,1
1016,제곱 ㄴㄴ 수,"math,number_theory,primality_test,sieve",TRUE,5758,15,4
1017,소수 쌍,"bipartite_matching,math,number_theory,primality_test,sieve",TRUE,1545,18,4
1018,체스판 다시 칠하기,bruteforcing,TRUE,29560,7,2
1019,책 페이지,math,TRUE,2931,15,2
1020,디지털 카운터,dp,TRUE,384,18,3
1021,회전하는 큐,"data_structures,deque",TRUE,13860,8,1
1022,소용돌이 예쁘게 출력하기,implementation,TRUE,2336,12,3
1023,괄호 문자열,"combinatorics,dp,math",TRUE,508,18,2
1024,수열의 합,math,TRUE,3709,9,3
1025,제곱수 찾기,bruteforcing,TRUE,987,11,3
1026,보물,"greedy,math,sorting",TRUE,22640,7,1
1027,고층 건물,"bruteforcing,geometry,math",TRUE,1765,12,2
1028,다이아몬드 광산,dp,TRUE,1064,16,3
1029,그림 교환,"bitmask,dp,dp_bitfield",TRUE,854,15,3
1030,프렉탈 평면,"divide_and_conquer,implementation,recursion",TRUE,566,13,2
1031,스타 대결,flow,TRUE,342,21,4
1032,명령 프롬프트,"implementation,string",TRUE,12091,5,1
1033,칵테일,"euclidean,graphs,graph_traversal,math,number_theory",TRUE,525,14,3
1034,램프,"ad_hoc,bruteforcing",TRUE,1220,12,2
1035,조각 움직이기,"bfs,bitmask,bruteforcing,graphs,graph_traversal",TRUE,403,15,2
1036,36진수,"arbitrary_precision,greedy,implementation,math,string",TRUE,591,15,4
1037,약수,"math,number_theory",TRUE,21305,5,1
1038,감소하는 수,"backtracking,bruteforcing",TRUE,4735,11,3
1039,교환,"bfs,graphs,graph_traversal",TRUE,2137,13,4
1040,정수,"bitmask,dp,dp_bitfield,greedy",TRUE,258,19,4
1041,주사위,"greedy,math",TRUE,2751,11,3
1042,움,"dp,parsing,string",TRUE,69,20,3
1043,거짓말,"data_structures,disjoint_set,graphs,graph_traversal",TRUE,4987,12,2
1044,팀 선발,mitm,TRUE,189,18,6
1045,도로,"graphs,greedy,mst",TRUE,224,15,3
1046,그림자,"geometry,implementation,line_intersection,sweeping",TRUE,60,24,4
1047,울타리,"bruteforcing,greedy",TRUE,124,16,4
1048,유니콘,"dp,prefix_sum",TRUE,130,17,2
1049,기타줄,"greedy,math",TRUE,6440,7,2
1050,물약,"graphs,parsing,string",TRUE,134,15,8
1051,숫자 정사각형,"bruteforcing,implementation",TRUE,5339,7,2
1052,물병,"bitmask,greedy,implementation,math",TRUE,2189,10,2
1053,팰린드롬 공장,"bruteforcing,dp",TRUE,297,14,2
1054,팰린드롬 문장,"bitmask,dp,dp_bitfield,string",TRUE,59,22,3
1055,끝이없음,"implementation,recursion,simulation",TRUE,103,18,5
1056,수,"binary_search,dp",TRUE,101,19,4
1057,토너먼트,"bruteforcing,math",TRUE,7628,8,1
1058,친구,"bruteforcing,floyd_warshall,graphs,graph_traversal",TRUE,2595,9,2
1059,좋은 구간,"bruteforcing,math,sorting",TRUE,2881,7,3
1060,좋은 수,"data_structures,math,priority_queue,sorting",TRUE,137,15,5
1061,삼각형,"convex_hull,geometry",TRUE,40,20,7
1062,가르침,"backtracking,bitmask,bruteforcing",TRUE,5567,12,3
1063,킹,"implementation,simulation",TRUE,2962,8,2
1064,평행사변형,"geometry,math,pythagoras",TRUE,1397,7,3
1065,한수,bruteforcing,TRUE,57009,7,1
1066,에이한수,"dp,greedy",TRUE,54,19,1
