problemId,titleKo,isSolvable,acceptedUserCount,level,averageTries,tags
1000,A+B,True,199179,1,2,"implementation,arithmetic,math"
1001,A-B,True,168110,1,1,"implementation,arithmetic,math"
1002,터렛,True,28569,8,4,"geometry,math"
1003,피보나치 함수,True,37972,8,3,dp
1004,어린 왕자,True,10649,8,2,geometry
1005,ACM Craft,True,9218,13,3,"dp,graphs,topological_sorting"
1006,습격자 초라기,True,1403,18,5,dp
1007,벡터 매칭,True,2262,14,2,"bruteforcing,math"
1008,A/B,True,131520,1,2,"implementation,arithmetic,math"
1009,분산처리,True,14018,4,4,"implementation,math"
1010,다리 놓기,True,22783,6,2,"combinatorics,dp,math"
1011,Fly me to the Alpha Centauri,True,20086,11,3,math
1012,유기농 배추,True,31857,9,2,"graphs,graph_traversal,bfs,dfs"
1013,Contact,True,3004,11,2,"regex,string"
1014,컨닝,True,1496,17,2,"bitmask,dp,flow,dp_bitfield"
1015,수열 정렬,True,4151,7,1,sorting
1016,제곱 ㄴㄴ 수,True,5758,15,4,"math,number_theory,primality_test,sieve"
1017,소수 쌍,True,1545,18,4,"bipartite_matching,math,number_theory,primality_test,sieve"
1018,체스판 다시 칠하기,True,29560,7,2,bruteforcing
1019,책 페이지,True,2931,15,2,math
1020,디지털 카운터,True,384,18,3,dp
1021,회전하는 큐,True,13860,8,1,"data_structures,deque"
1022,소용돌이 예쁘게 출력하기,True,2336,12,3,implementation
1023,괄호 문자열,True,508,18,2,"combinatorics,dp,math"
1024,수열의 합,True,3709,9,3,math
1025,제곱수 찾기,True,987,11,3,bruteforcing
1026,보물,True,22640,7,1,"greedy,math,sorting"
1027,고층 건물,True,1765,12,2,"bruteforcing,geometry,math"
1028,다이아몬드 광산,True,1064,16,3,dp
1029,그림 교환,True,854,15,3,"bitmask,dp,dp_bitfield"
1030,프렉탈 평면,True,566,13,2,"divide_and_conquer,implementation,recursion"
1031,스타 대결,True,342,21,4,flow
1032,명령 프롬프트,True,12091,5,1,"implementation,string"
1033,칵테일,True,525,14,3,"euclidean,graphs,graph_traversal,math,number_theory"
1034,램프,True,1220,12,2,"ad_hoc,bruteforcing"
1035,조각 움직이기,True,403,15,2,"bfs,bitmask,bruteforcing,graphs,graph_traversal"
1036,36진수,True,591,15,4,"arbitrary_precision,greedy,implementation,math,string"
1037,약수,True,21305,5,1,"math,number_theory"
1038,감소하는 수,True,4735,11,3,"backtracking,bruteforcing"
1039,교환,True,2137,13,4,"bfs,graphs,graph_traversal"
1040,정수,True,258,19,4,"bitmask,dp,dp_bitfield,greedy"
1041,주사위,True,2751,11,3,"greedy,math"
1042,움,True,69,20,3,"dp,parsing,string"
1043,거짓말,True,4987,12,2,"data_structures,disjoint_set,graphs,graph_traversal"
1044,팀 선발,True,189,18,6,mitm
1045,도로,True,224,15,3,"graphs,greedy,mst"
1046,그림자,True,60,24,4,"geometry,implementation,line_intersection,sweeping"
1047,울타리,True,124,16,4,"bruteforcing,greedy"
1048,유니콘,True,130,17,2,"dp,prefix_sum"
1049,기타줄,True,6440,7,2,"greedy,math"
1050,물약,True,134,15,8,"graphs,parsing,string"
1051,숫자 정사각형,True,5339,7,2,"bruteforcing,implementation"
1052,물병,True,2189,10,2,"bitmask,greedy,implementation,math"
1053,팰린드롬 공장,True,297,14,2,"bruteforcing,dp"
1054,팰린드롬 문장,True,59,22,3,"bitmask,dp,dp_bitfield,string"
1055,끝이없음,True,103,18,5,"implementation,recursion,simulation"
1056,수,True,101,19,4,"binary_search,dp"
1057,토너먼트,True,7628,8,1,"bruteforcing,math"
1058,친구,True,2595,9,2,"bruteforcing,floyd_warshall,graphs,graph_traversal"
1059,좋은 구간,True,2881,7,3,"bruteforcing,math,sorting"
1060,좋은 수,True,137,15,5,"data_structures,math,priority_queue,sorting"
1061,삼각형,True,40,20,7,"convex_hull,geometry"
1062,가르침,True,5567,12,3,"backtracking,bitmask,bruteforcing"
1063,킹,True,2962,8,2,"implementation,simulation"
1064,평행사변형,True,1397,7,3,"geometry,math,pythagoras"
1065,한수,True,57009,7,1,bruteforcing
1066,에이한수,True,54,19,1,"dp,greedy"
1067,이동,True,793,20,1,"fft,math"
1068,트리,True,7542,11,3,"dfs,graphs,graph_traversal,trees"
1069,집으로,True,741,13,3,"ad_hoc,case_work,geometry"
1070,김지민의 침략,True,57,20,3,"flow,mfmc"
1071,소트,True,562,16,3,greedy
1072,게임,True,5172,8,4,"binary_search,math"
1073,도미노,True,112,18,1,"eulerian_path,graphs"
1074,Z,True,14589,10,2,"divide_and_conquer,recursion"
1075,나누기,True,7570,4,1,"bruteforcing,math"
1076,저항,True,8933,4,2,implementation
1077,넓이,True,94,20,5,"convex_hull,geometry,line_intersection,point_in_convex_polygon,polygon_area"
1078,뒤집음,True,81,20,7,"bruteforcing,math"
1079,마피아,True,423,14,5,bruteforcing
1080,행렬,True,5393,10,2,greedy
1081,합,True,625,15,2,math
1082,방 번호,True,759,13,3,"dp,greedy"
1083,소트,True,966,11,3,"greedy,sorting"
1084,방 번호 2,True,47,19,7,"greedy,implementation"
1085,직사각형에서 탈출,True,35914,3,1,"geometry,math"
1086,박성원,True,1308,16,4,"bitmask,dp,dp_bitfield"
1087,쥐 잡기,True,213,17,4,ternary_search
1088,케이크,True,121,18,3,greedy
1089,스타트링크 타워,True,514,12,3,"implementation,math,probability"
1090,체커,True,106,17,2,bruteforcing
1091,카드 섞기,True,487,12,2,"implementation,simulation"
1092,배,True,2762,11,4,"greedy,sorting"
1093,스티커 수집,True,102,18,5,"bruteforcing,mitm"
1094,막대기,True,13268,6,1,"bitmask,math"
1095,마법의 구슬,True,115,15,6,"math,number_theory"
1096,종이 접기,True,51,18,3,bruteforcing
1097,마법의 문자열,True,221,15,2,"bruteforcing,kmp,string"
1098,쌍둥이 마을,True,32,19,6,"bitmask,dp,dp_bitfield"
1099,알 수 없는 문장,True,365,12,3,dp
1100,하얀 칸,True,12321,4,1,"implementation,string"
1101,카드 정리 1,True,80,12,3,"bruteforcing,greedy"
1102,발전소,True,1955,16,4,"bitmask,dp,dp_bitfield"
1103,게임,True,2338,14,4,"dfs,dp,graphs,graph_traversal"
1104,패턴,True,28,17,7,"case_work,implementation,math,string"
1105,팔,True,1558,10,3,"greedy,math"
1106,호텔,True,1363,11,3,"dp,knapsack"
1107,리모컨,True,12435,11,4,bruteforcing
1108,검색 엔진,True,205,18,5,"data_structures,graphs,hash_set,scc,topological_sorting"
1109,섬,True,109,17,4,"bfs,dfs,graphs,graph_traversal"
1110,더하기 사이클,True,84245,5,2,"implementation,math"
1111,IQ Test,True,1309,13,5,"bruteforcing,case_work,implementation,math"
1112,진법 변환,True,207,14,2,"implementation,math,number_theory"
1113,수영장 만들기,True,783,15,2,"bfs,graphs,graph_traversal,implementation,simulation"
1114,통나무 자르기,True,526,15,5,"binary_search,greedy,parametric_search"
1115,순열,True,117,15,2,graphs
1116,순열 2,True,25,19,4,"graphs,greedy"
1117,색칠 1,True,220,11,3,"implementation,math"
1118,색칠 2,True,8,19,2,"geometry,implementation,sorting,sweeping"
1119,그래프,True,43,15,4,"graphs,graph_traversal"
1120,문자열,True,7227,7,1,"bruteforcing,string"
1121,도형,True,81,18,4,dp
1122,뒤집기,True,55,17,5,"bfs,case_work,graphs,graph_traversal,math"
1123,셔플,True,17,22,4,"exponentiation_by_squaring,math"
1124,언더프라임,True,1015,9,2,"math,number_theory,primality_test,sieve"
1125,바닥 장식,True,23,17,7,"case_work,greedy,math"
1126,같은 탑,True,1297,18,3,dp
1127,떡국,True,43,22,1,"flow,mfmc"
1128,피보나치 냅색,True,76,19,5,"dp,math"
1129,키,True,46,18,2,"greedy,sorting"
1130,종이 레이싱,True,4,21,6,"bfs,geometry,graphs,graph_traversal,line_intersection"
1131,숫자,True,118,16,3,"dp,graphs,graph_traversal"
1132,합,True,693,13,3,greedy
1133,반복되지 않는 단어,True,25,15,2,"backtracking,recursion"
1134,식,True,17,21,5,"bruteforcing,dp,implementation"
1135,뉴스 전하기,True,919,14,2,"dp,dp_tree,greedy,sorting,trees"
1136,조각 놓기,True,16,16,6,dp
1137,로봇 레이스,True,10,17,2,dp
1138,한 줄로 서기,True,4395,9,1,implementation
1139,울타리,True,58,15,2,"bitmask,dp,dp_bitfield"
1140,요금,True,22,18,6,"greedy,implementation,math,number_theory"
1141,접두사,True,662,9,2,"sorting,string"
1142,피자,True,18,17,4,geometry
1143,경찰,True,28,19,3,"graphs,scc"
1144,싼 비용,True,80,23,3,"dp,dp_connection_profile"
1145,적어도 대부분의 배수,True,3778,5,1,bruteforcing
1146,지그재그 서기,True,423,16,2,"dp,math"
1147,BOJ 소풍,True,25,17,2,"combinatorics,geometry,math"
1148,단어 만들기,True,167,11,2,"implementation,string"
1149,RGB거리,True,32939,10,1,dp
1150,백업,True,352,22,3,"data_structures,greedy,priority_queue"
1151,그림자,True,13,17,3,"case_work,geometry,geometry_3d,polygon_area"
1152,단어의 개수,True,63748,4,3,"implementation,string"
1153,네 개의 소수,True,758,12,2,"math,number_theory,primality_test,sieve"
1154,팀 편성,True,60,16,2,"graphs,graph_traversal"
1155,변형 하노이,True,36,17,1,dp
1156,장난감,True,14,20,3,"greedy,ternary_search"
1157,단어 공부,True,58443,5,2,"implementation,string"
1158,요세푸스 문제,True,25520,7,2,"data_structures,queue"
1159,농구 경기,True,6335,4,1,"implementation,string"
1160,Random Number Generator,True,74,16,3,"exponentiation_by_squaring,math"
1161,버스,True,43,18,2,"data_structures,greedy"
1162,도로포장,True,1338,15,4,"dijkstra,dp,graphs"
1163,증가하는 리스트,True,6,21,3,"dp,implementation"
1164,가리기,True,8,20,3,"ad_hoc,backtracking,greedy"
1165,단어퍼즐,True,25,22,2,"data_structures,graphs,hashing,heuristics,parsing,precomputation,string,trees,trie"
1166,선물,True,530,8,5,binary_search
1167,트리의 지름,True,8466,14,2,"dfs,graphs,graph_traversal,trees"
1168,요세푸스 문제 2,True,891,18,3,"data_structures,segtree"
1169,정사각형 진열,True,16,15,4,"geometry,greedy"
1170,선인장의 개수,True,66,18,2,"cactus,graphs"
1171,사오정,True,8,20,2,dp
1172,선인장 Automorphisms,True,6,24,3,
1173,운동,True,2012,4,2,"implementation,simulation"
1174,줄어드는 수,True,957,11,2,"backtracking,bruteforcing"
1175,배달,True,551,15,3,"bfs,graphs,graph_traversal"
1176,섞기,True,128,15,2,"bitmask,dp,dp_bitfield"
1177,조쌤포스,True,47,16,4,"case_work,geometry,math,sweeping"
1178,간선 추가,True,68,16,3,"eulerian_path,graphs"
1179,마지막 요세푸스 문제,True,178,19,2,"dp,math,recursion"
1180,선인장의 지름,True,28,23,3,"biconnected_component,cactus,data_structures,dp,dp_tree,graphs,trees"
1181,단어 정렬,True,33732,6,2,"sorting,string"
1182,부분수열의 합,True,16734,9,2,"backtracking,bruteforcing"
1183,약속,True,238,8,2,"math,sorting"
1184,귀농,True,254,15,2,"bruteforcing,data_structures,hash_set,prefix_sum"
1185,유럽여행,True,367,17,1,"graphs,mst"
1186,직사각형 색칠하기,True,38,12,3,"geometry,greedy,sorting"
1187,숫자 놀이,True,115,21,2,"constructive,divide_and_conquer,math"
1188,음식 평론가,True,1876,12,2,"math,number_theory"
1189,컴백홈,True,950,10,1,"backtracking,bruteforcing,graphs,graph_traversal"
1190,골 세레모니,True,3,23,9,
1191,게임,True,6,21,7,"bfs,data_structures,dp,game_theory,graphs,graph_traversal,hash_set,tree_set"
1192,장갑,True,16,23,3,math
1193,분수찾기,True,36678,5,1,"implementation,math"
1194,"달이 차오른다, 가자.",True,3260,15,2,"bfs,bitmask,graphs,graph_traversal"
1195,킥다운,True,163,11,3,"bruteforcing,implementation"
1196,잭 바우어,True,35,22,14,"arbitrary_precision,calculus,math,numerical_analysis"
1197,최소 스패닝 트리,True,12851,12,2,"graphs,mst"
1198,삼각형으로 자르기,True,317,9,1,"bruteforcing,geometry,math"
1199,오일러 회로,True,345,17,7,"dfs,eulerian_path,graphs,graph_traversal"
1200,기상예측,True,65,17,1,"binary_search,bruteforcing,dp,prefix_sum"
1201,NMK,True,1120,18,3,"constructive,greedy,math"
1202,보석 도둑,True,6510,14,4,"data_structures,greedy,priority_queue,sorting"
1203,게임,True,6,16,14,math
1204,팰린드롬의 개수,True,38,21,1,dp
1205,등수 구하기,True,2146,7,4,implementation
1206,사람의 수,True,100,8,7,"bruteforcing,math"
1207,종이 자르기,True,25,14,11,"backtracking,implementation"
1208,부분수열의 합 2,True,3154,15,4,"binary_search,mitm"
1209,단조수열 만들기,True,166,17,2,dp
1210,마피아,True,264,20,4,"flow,mfmc"
1211,보일의 법칙,True,17,21,2,"dp,math,number_theory"
1212,8진수 2진수,True,9718,4,2,"implementation,math,string"
1213,팰린드롬 만들기,True,4248,8,2,"greedy,implementation,string"
1214,쿨한 물건 구매,True,443,16,5,"bruteforcing,math,number_theory"
1215,잘못 작성한 요세푸스 코드,True,123,17,3,"math,number_theory"
1217,하우스 M.D.,True,114,17,2,"2_sat,graphs,scc"
1218,로봇,True,22,25,2,"coordinate_compression,data_structures,geometry,implementation,lazyprop,lis,polygon_area,segtree,stack,sweeping"
1219,오민식의 고민,True,1084,15,6,"bellman_ford,graphs,graph_traversal"
1220,MEGACITY,True,31,19,5,"coordinate_compression,dijkstra,graphs,graph_traversal"
1221,가까운 점,True,13,19,21,"data_structures,divide_and_conquer,geometry,geometry_3d,hash_set,randomization,sorting,sweeping"
1222,홍준 프로그래밍 대회,True,387,14,4,"math,number_theory"
1223,마법의 돌,True,2,0,8,
1224,분수,True,8,20,4,"extended_euclidean,math,number_theory"
1225,이상한 곱셈,True,4001,4,2,"implementation,math,string"
1226,국회,True,160,17,3,"dp,greedy,knapsack"
1227,그녀의 마음,True,19,19,2,"ad_hoc,bfs,case_work,graphs,graph_traversal,math"
1228,전쟁,True,5,17,3,"data_structures,dp,dp_tree,hash_set,knapsack,trees"
1229,육각수,True,190,12,2,"dp,math,precomputation"
1230,문자열 거리,True,72,15,3,dp
1231,주식왕 동호,True,81,15,3,"dp,knapsack"
1232,체스,True,5,22,3,"ad_hoc,graphs,graph_traversal"
1233,주사위,True,1941,4,1,"bruteforcing,implementation"
1234,크리스마스 트리,True,525,14,2,"combinatorics,dp,math"
1235,학생 번호,True,1007,7,2,"implementation,string"
1236,성 지키기,True,3349,5,2,implementation
1237,정ㅋ벅ㅋ,True,15169,0,3,
1238,파티,True,9698,13,2,"dijkstra,graphs"
1239,차트,True,261,10,2,bruteforcing
1240,노드사이의 거리,True,1505,11,1,"bfs,dfs,graphs,graph_traversal,trees"
1241,머리 톡톡,True,226,11,3,"math,number_theory,primality_test"
1242,소풍,True,330,14,3,math
1243,팰린드롬,True,74,22,2,dp
1244,스위치 켜고 끄기,True,5777,7,5,"implementation,simulation"
1245,농장 관리,True,535,11,2,"bfs,dfs,graphs,graph_traversal"
1246,온라인 판매,True,1372,7,2,"greedy,sorting"
1247,부호,True,2309,3,2,"arbitrary_precision,arithmetic,math"
1248,Guess,True,1883,13,2,"backtracking,bruteforcing"
1249,워드똑똑,True,26,20,3,"dp,exponentiation_by_squaring,math"
1250,색칠된 공들,True,7,24,52,"data_structures,priority_queue"
1251,단어 나누기,True,2066,6,2,"bruteforcing,implementation,sorting,string"
1252,이진수 덧셈,True,2611,4,3,"arithmetic,implementation,math"
1253,좋다,True,2104,12,4,"binary_search,data_structures,hash_set,sorting,two_pointer"
1254,팰린드롬 만들기,True,2559,9,2,"bruteforcing,string"
1255,전쟁 - 선전포고,True,20,17,3,"dijkstra,graphs"
1256,사전,True,2885,14,3,"combinatorics,dp,math"
1257,엄청난 부자,True,49,20,3,"dijkstra,dp,graphs,math"
1258,문제 할당,True,120,18,1,"flow,mcmf"
1259,팰린드롬수,True,15974,5,1,"implementation,string"
1260,DFS와 BFS,True,43053,9,2,"graphs,graph_traversal,bfs,dfs"
1261,알고스팟,True,8732,12,2,"0_1_bfs,dijkstra,graphs"
1262,알파벳 다이아몬드,True,97,9,3,implementation
1263,시간 관리,True,583,10,2,"greedy,sorting"
1264,모음의 개수,True,4582,2,1,"implementation,string"
1265,순열,True,38,18,3,"arbitrary_precision,bitmask,dp,dp_bitfield"
1266,일어나!,True,3,23,9,"geometry,line_intersection,sweeping"
1267,핸드폰 요금,True,5511,3,2,"arithmetic,math"
1268,임시 반장 정하기,True,1848,5,3,implementation
1269,대칭 차집합,True,6216,7,1,"data_structures,hash_set,tree_set"
1270,전쟁 - 땅따먹기,True,295,8,4,"data_structures,hash_set,implementation,majority_vote,tree_set"
1271,엄청난 부자2,True,9990,1,2,"arbitrary_precision,arithmetic,math"
1272,특별 노드,True,16,14,1,"dp,dp_tree,trees"
1273,샷,True,93,18,3,"data_structures,prefix_sum,segtree"
1274,커피숍1,True,15,0,16,
1275,커피숍2,True,3157,15,3,"segtree,data_structures"
1276,PLATFORME,True,153,10,2,"implementation,sorting"
1277,발전소 설치,True,132,12,3,"dijkstra,graphs"
1278,연극,True,39,13,1,"math,recursion"
1279,내멋대로 주사위,True,18,16,2,"combinatorics,dp,knapsack,math"
1280,나무 심기,True,1001,17,5,"data_structures,segtree"
1281,보석상,True,27,22,2,"duality,flow,hungarian,linear_programming,mcmf"
1282,P-수열,True,25,20,3,dp
1283,단축키 지정,True,576,9,2,"implementation,string"
1284,집 주소,True,2771,3,1,"arithmetic,implementation,math"
1285,동전 뒤집기,True,1017,14,2,"bitmask,bruteforcing,greedy"
1286,부분 직사각형,True,52,10,1,"combinatorics,math"
1287,할 수 있다,True,203,15,5,"arithmetic,case_work,implementation,math,parsing,string"
1288,전쟁 - 국지전,True,5,21,2,
1289,트리의 가중치,True,641,18,3,"dp,dp_tree,math,trees"
1290,배럭,True,26,20,4,"bruteforcing,greedy,implementation,math,simulation"
1291,이면수와 임현수,True,113,8,3,"case_work,implementation,math,number_theory,primality_test"
1292,쉽게 푸는 문제,True,10620,5,1,"implementation,math"
1293,생물농축,True,16,18,2,"dfs,dp,graphs,graph_traversal,knapsack,topological_sorting"
1294,문자열 장식,True,181,18,5,"greedy,sorting,string"
1295,평면도,True,4,24,14,
1296,팀 이름 정하기,True,1171,5,2,"implementation,string"
1297,TV 크기,True,5205,4,1,"pythagoras,geometry"
1298,노트북의 주인을 찾아서,True,1544,17,2,bipartite_matching
1299,전쟁 - 탈출편2,True,4,17,11,"dijkstra,graphs"
1300,K번째 수,True,7063,14,2,"binary_search,parametric_search"
1301,비즈 공예,True,235,13,3,dp
1302,베스트셀러,True,6503,7,1,"data_structures,hash_set,sorting,string"
1303,전쟁 - 전투,True,2633,10,2,"bfs,dfs,graphs,graph_traversal"
1304,지역,True,42,12,3,"bruteforcing,graphs,graph_traversal"
1305,광고,True,2238,17,1,"kmp,string"
1306,달려라 홍준,True,701,16,2,"data_structures,segtree,sliding_window"
1307,마방진,True,106,17,2,"ad_hoc,implementation"
1308,D-Day,True,495,6,4,implementation
1309,동물원,True,9297,10,2,dp
1310,달리기 코스,True,215,18,2,"convex_hull,geometry,rotating_calipers"
1311,할 일 정하기 1,True,821,15,2,"bitmask,dp,dp_bitfield"
